_id,NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
124,1000000124,船橋競馬場正面駐車場,フナバシケイバジョウショウメンチュウシャジョウ,千葉県船橋市若松1-2-1,"",35.688354,139.995281,"",なし,"",122041,千葉県,船橋市,,1,,1,,1,,1,,"10,000人","","",""
125,1000000125,NTT船橋グラウンド,エヌティティフナバシグラウンド,千葉県船橋市飯山満町2-622,"",35.707657,140.025292,"",なし,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,,"7,704人","","",""
126,1000000126,高瀬町まちかどスポーツ広場,タカセチョウマチカドスポーツヒロバ,千葉県船橋市高瀬町56,"",35.669131,139.996064,"",なし,"",122041,千葉県,船橋市,,1,,1,,1,1,1,,"24,266人","","",""
127,1000000127,船橋市市庁舎,フナバシシシチョウシャ,千葉県船橋市湊町2-10-25,"",35.694929,139.982238,"",047-436-2111,"",122041,千葉県,船橋市,,,,,1,,,,,"3,687人","","",""
128,1000000128,南部清掃工場工場棟,ナンブセイソウコウジョウコウジョウトウ,千葉県船橋市潮見町38,"",35.675314,139.965243,"",047-437-5300,"",122041,千葉県,船橋市,,,,,1,,,,,756人,"","",""
129,1000000129,ふなばし三番瀬環境学習館,フナバシサンバンゼカンキョウガクシュウカン,千葉県船橋市潮見町40,"",35.672689,139.968424,"",047-435-7711,"",122041,千葉県,船橋市,,,,,1,,,,,"1,250人","","",""
130,1000000130,三井物産ｸﾞﾛｰﾊﾞﾙﾛｼﾞｽﾃｨｸｽ関東中央支店東浜流通センター,ミツイブッサングローバルロジスティクスカントウチュウオウシテンヒガシハマリュウツウセンター,千葉県市川市東浜1-2-1,"",35.673246,139.963449,"",なし,"",122033,千葉県,市川市,,,,,1,,,,,"9,245人","","",""
131,1000000131,アイシーエクスプレス京葉物流センター,アイシーエクスプレスケイヨウブツリュウセンター,千葉県船橋市潮見町35-3,"",35.677718,139.966831,"",なし,"",122041,千葉県,船橋市,,,,,1,,,,,安全に避難が可能な人数,"","",""
132,1000000132,京葉港湾労働者福祉センター,ケイヨウコウワンロウドウシャフクシセンター,千葉県船橋市潮見町32-3,"",35.678681,139.964583,"",047-432-0525,"",122041,千葉県,船橋市,,,,,1,,,,,216人,"","",""
133,1000000133,三井ショッピングパークららぽーとTOKYO-BAY,ミツイショッピングパークララポートトウキョウベイ,千葉県船橋市浜町2-1-1,"",35.687318,139.989949,"",047-407-2399,"",122041,千葉県,船橋市,,,,,1,,,,,"18,769人","","",""
134,1000000134,IKEATokyo-Bay,イケアトウキョウベイ,千葉県船橋市浜町2-3-30,"",35.682206,139.992867,"",057-001-3900,"",122041,千葉県,船橋市,,,,,1,,,,,"5,107人","","",""
135,1000000135,三井ショッピングパークららぽーとTOKYO-BAYNorthGate,ミツイショッピングパークララポートトウキョウベイノースゲート,千葉県船橋市浜町2-2-7,"",35.687631,139.99427,"",なし,"",122041,千葉県,船橋市,,,,,1,,,,,"10,000人","","",""
136,1000000136,コナミスポーツクラブ船橋,コナミスポーツクラブフナバシ,千葉県船橋市湊町2-8-45,"",35.695242,139.982109,"",047-420-2071,"",122041,千葉県,船橋市,,,,,1,,,,,"2,300人","","",""
137,1000000137,ダイアパレスライブシティ船橋,ダイアパレスライブシティフナバシ,千葉県船橋市栄町1-9-1,"",35.693548,139.975436,"",なし,"",122041,千葉県,船橋市,,,,,1,,,,,"2,000人","","",""
138,1000000138,ワンダーベイシティSAZAN,ワンダーベイシティサザン,千葉県船橋市浜町2-3-31〜34,"",35.680515,139.991086,"",なし,"",122041,千葉県,船橋市,,,,,1,,,,,"1,280人","","",""
139,1000000139,グランドホライゾン・トーキョーベイ,グランドホライゾントーキョーベイ,千葉県船橋市浜町2-3-35〜37,"",35.679008,139.991266,"",なし,"",122041,千葉県,船橋市,,,,,1,,,,,"12,000人","","",""
140,1000000140,高瀬下水処理場上部運動広場（タカスポ）,タカセゲスイショリジョウジョウブウンドウヒロバ（タカスポ）,千葉県船橋市高瀬町56-1,"",35.67269,139.99688,"",047-436-2910,"",122041,千葉県,船橋市,,,,,1,,,,,"21,000人","","",""
141,1000000141,スーパーオートバックス市川立体駐車場,スーパーオートバックスイチカワリッタイチュウシャジョウ,千葉県市川市鬼高3-32-12,"",35.708973,139.938212,"",047-393-7000,"",122033,千葉県,市川市,,,,,1,,,,,"3,124人","","",""
142,1000000142,三井不動産ロジスティクスパーク船橋U立体駐車場棟,ミツイフドウサンロジスティクスパークフナバシツーリッタイチュウシャジョウトウ,千葉県船橋市浜町2-6-25,"",35.680707,139.990764,"",なし,"",122041,千葉県,船橋市,,,,,1,,,,,"2,530人","","",""
143,1000000143,京葉ガス株式会社船橋倉庫,ケイヨウガスカブシキガイシャフナバシソウコ,千葉県船橋市南海神1-7-1,"",35.696916,139.966474,"",なし,"",122041,千葉県,船橋市,,,,,1,,,,,911人,"","",""
144,1000000143,三井ショッピングパーク ららテラスTOKYO-BAYLaLaterraceGreenPark,ミツイショッピングパークララテラストーキョーベイ ララテラスグリーンパーク,千葉県船橋市若松2-2-1,"",35.680553,139.997352,"",なし,"",122041,千葉県,船橋市,,1,,1,,1,,1,,2357人,"","",""
145,1000000143,株式会社テクノフレックス千葉工場,カブシキガイシャテクノフレックスチバコウジョウ,千葉県船橋市潮見町34-17,"",35.67706297,139.9650163,"",なし,"",122041,千葉県,船橋市,,,,,1,,,,,100人を目安とする,"","",""
